program_id,category,term,term_id,description,fdr,p_value,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes
1,Process,GO:0010824,NA,Regulation of centrosome duplication,0.0425,0.0008,5,50,10090,Kat2b|Rock2|Alms1|Xpo1|Sirt1
1,Process,GO:0017148,NA,Negative regulation of translation,0.0427,0.0008,9,175,10090,Rock2|Pan3|Xrn1|Tut4|Rock1|Lsm14a|Rc3h2|Rc3h1|Cpeb2
1,Process,GO:0110053,NA,Regulation of actin filament organization,0.044,0.00083,12,294,10090,Braf|Tgfbr1|Rock2|Washc4|Ccdc88a|Rictor|Dlg1|Alms1|Arfgef1|Rasa1|Nckap1|Clasp2
1,Process,GO:0031334,NA,Positive regulation of protein-containing complex assembly,0.0445,0.00085,10,214,10090,Mapk8|Mecp2|Fnip1|Ambra1|Rictor|Dlg1|Togaram1|Slf2|Faf1|Nckap1
1,Process,GO:0031063,NA,Regulation of histone deacetylation,0.0453,0.00086,5,51,10090,Kat2b|Ncor1|Mapk8|Nipbl|Sirt1
1,KEGG,mmu05206,NA,MicroRNAs in cancer,0.0467,0.0067,7,159,10090,Crebbp|Kras|Pik3cb|Sos2|Ep300|Rock1|Sirt1
1,Process,GO:0006275,NA,Regulation of DNA replication,0.0479,0.00093,8,143,10090,Ankrd17|Mapk8|Esco1|Ccdc88a|Faf1|Jade3|Usp37|Pds5a
1,Process,GO:0038066,NA,p38MAPK cascade,0.0479,0.00093,3,12,10090,Atf2|Nr2c2|Atf7
1,Process,GO:1900076,NA,Regulation of cellular response to insulin stimulus,0.0479,0.00093,6,79,10090,Ncoa2|Ncoa1|Gkap1|Grb10|Osbpl8|Sirt1
1,Process,GO:0051495,NA,Positive regulation of cytoskeleton organization,0.0479,0.00094,10,217,10090,Braf|Tgfbr1|Rock2|Mapk8|Mecp2|Ccdc88a|Rictor|Dlg1|Togaram1|Nckap1
1,Process,GO:0030099,NA,Myeloid cell differentiation,0.0487,0.00096,12,299,10090,Ncor1|Pafah1b1|Rb1|Rabgap1l|Arid4a|Cbfb|Ep300|Nf1|Ptbp3|Ncoa6|Kmt2e|Sirt1
1,KEGG,mmu05135,NA,Yersinia infection,0.0489,0.0072,6,122,10090,Rock2|Mapk8|Pik3cb|Rock1|Nfatc3|Akt3
1,KEGG,mmu04330,NA,Notch signaling pathway,0.0489,0.0073,4,54,10090,Kat2b|Crebbp|Ep300|Numb
1,Process,GO:0048813,NA,Dendrite morphogenesis,0.0498,0.00099,6,80,10090,Rock2|Mapk8|Abl2|Dip2a|Kidins220|Afdn
2,Process,GO:0006397,NA,mRNA processing,0.0105,6.63e-07,17,452,10090,Luc7l3|Tra2a|Rprd1a|Rbbp6|Luc7l2|Ddx17|Prpf4b|Srrm2|Rnpc3|Tia1|Zranb2|Cdk12|Rbm39|Srsf5|Cpsf6|Rbm5|Srek1
2,Process,GO:0008380,NA,RNA splicing,0.0105,1.05e-06,15,364,10090,Taf15|Luc7l3|Tra2a|Luc7l2|Ddx17|Prpf4b|Srrm2|Rnpc3|Tia1|Zranb2|Cdk12|Rbm39|Srsf5|Rbm5|Srek1
3,KEGG,mmu05012,NA,Parkinson disease,9.88e-25,2.98e-27,38,238,10090,Cox5a|Ndufa11|Psmb1|Ubb|Uqcr11|Uqcrb|Psmb5|Ndufb4|Atp5j|Atp5o|Dusp1|Atp5b|Psma7|Uchl1|Bax|Slc25a4|Psma4|Ndufa7|Sem1|Psmd7|Ndufb10|Cox6a1|Psmd8|Gnai2|Tubb2a|Psmc3|Cox6b1|Tuba1a|Psmb3|Park7|Atp5h|Atp5g3|Ubc|Cox7c|Cox6c|Psma2|Cox4i1|Ndufa4
3,KEGG,mmu05020,NA,Prion disease,1.36e-19,8.21e-22,34,263,10090,Cav2|Cox5a|Ndufa11|Psmb1|Uqcr11|Uqcrb|Psmb5|Ndufb4|Atp5j|Atp5o|Atp5b|Psma7|Bax|Slc25a4|Psma4|Ndufa7|Sem1|Psmd7|Ndufb10|Cox6a1|Mapk3|Psmd8|Tubb2a|Psmc3|Cox6b1|Tuba1a|Psmb3|Atp5h|Atp5g3|Cox7c|Cox6c|Psma2|Cox4i1|Ndufa4
3,KEGG,mmu05014,NA,Amyotrophic lateral sclerosis,1.95e-18,1.76e-20,37,362,10090,Cox5a|Ndufa11|Psmb1|Gabarap|Uqcr11|Uqcrb|Psmb5|Ndufb4|Atp5j|Atp5o|Atp5b|Psma7|Bax|Psma4|Ndufa7|Sem1|Psmd7|Ndufb10|Cox6a1|Psmd8|Tubb2a|Anxa7|Psmc3|Actg1|Cox6b1|Gpx1|Tuba1a|Actb|Psmb3|Sqstm1|Atp5h|Atp5g3|Cox7c|Cox6c|Psma2|Cox4i1|Ndufa4
3,KEGG,mmu05016,NA,Huntington disease,2.25e-18,2.71e-20,34,297,10090,Cox5a|Ndufa11|Psmb1|Uqcr11|Uqcrb|Psmb5|Ndufb4|Atp5j|Atp5o|Atp5b|Psma7|Bax|Slc25a4|Psma4|Ndufa7|Sem1|Psmd7|Ndufb10|Cox6a1|Psmd8|Cltb|Tubb2a|Psmc3|Cox6b1|Gpx1|Tuba1a|Psmb3|Atp5h|Atp5g3|Cox7c|Cox6c|Psma2|Cox4i1|Ndufa4
3,KEGG,mmu05010,NA,Alzheimer disease,5.81e-17,8.75e-19,35,360,10090,Cox5a|Ndufa11|Ctnnb1|Psmb1|Uqcr11|Uqcrb|Psmb5|Ndufb4|Atp5j|Atp5o|Atp5b|Psma7|Kras|Slc25a4|Psma4|Ndufa7|Sem1|Psmd7|Ndufb10|Cox6a1|Mapk3|Psmd8|Tubb2a|Psmc3|Cox6b1|Tuba1a|Psmb3|Atp5h|Atp5g3|Gapdh|Cox7c|Cox6c|Psma2|Cox4i1|Ndufa4
3,KEGG,mmu00190,NA,Oxidative phosphorylation,6.15e-15,1.11e-16,22,130,10090,Cox5a|Ndufa11|Uqcr11|Uqcrb|Ndufb4|Atp5j|Atp5o|Atp6v0c|Atp5b|Ndufa7|Ndufb10|Cox6a1|Atp5l|Atp6v1g1|Cox6b1|Atp5h|Atp5g3|Cox7c|Cox6c|Atp6v0e|Cox4i1|Ndufa4
3,KEGG,mmu04714,NA,Thermogenesis,2.4e-12,5.07e-14,24,225,10090,Cox5a|Ndufa11|Uqcr11|Uqcrb|Ndufb4|Atp5j|Atp5o|Ndufaf7|Atp5b|Kras|Ndufa7|Ndufb10|Cox6a1|Atp5l|Actg1|Cox6b1|Actb|Atp5h|Atp5g3|Cox7c|Cox6c|Mgll|Cox4i1|Ndufa4
3,KEGG,mmu05132,NA,Salmonella infection,4.07e-11,9.82e-13,22,212,10090,Ctnnb1|Rhoa|Dynll1|Nfkbia|Hsp90ab1|Bax|Dynlt3|Anxa2|Rras|Myl12b|Mapk3|Cdc42|Actg1|Arpc1b|Hsp90aa1|Actb|Arf2|Arpc2|Gapdh|Dynlrb1|Myl12a|Arf1
3,KEGG,mmu03050,NA,Proteasome,8.29e-09,2.25e-10,11,46,10090,Psmb1|Psmb5|Psma7|Pomp|Psma4|Sem1|Psmd7|Psmd8|Psmc3|Psmb3|Psma2
3,Process,GO:0006119,NA,Oxidative phosphorylation,5.98e-08,4.64e-12,17,120,10090,Cox5a|Ndufa11|Uqcr11|Uqcrb|Ndufb4|Atp5j|Atp5o|Atp5b|Ndufa7|Ndufb10|Cox6a1|Cox6b1|Atp5h|Cox7c|Cox6c|Cox4i1|Cox5b
3,KEGG,mmu04932,NA,Non-alcoholic fatty liver disease,1.78e-07,5.36e-09,15,147,10090,Cox5a|Ndufa11|Uqcr11|Uqcrb|Ndufb4|Bax|Ndufa7|Ndufb10|Cox6a1|Cdc42|Cox6b1|Cox7c|Cox6c|Cox4i1|Ndufa4
3,Process,GO:0045333,NA,Cellular respiration,3.15e-07,1.99e-10,19,204,10090,Cox5a|Ndufa11|Etfb|Uqcr11|Uqcrb|Ndufb4|Atp5j|Atp5o|Atp5b|Bax|Ndufa7|Ndufb10|Cox6a1|Cox6b1|Atp5h|Cox7c|Cox6c|Cox4i1|Cox5b
3,Process,GO:0015980,NA,Energy derivation by oxidation of organic compounds,7.86e-07,6.44e-10,21,275,10090,Cox5a|Ndufa11|Etfb|Uqcr11|Uqcrb|Ndufb4|Atp5j|Atp5o|Atp5b|Bax|Ppp1ca|Ndufa7|Ndufb10|Cox6a1|Cox6b1|Atp5h|Cox7c|Cox6c|Cox4i1|Gnas|Cox5b
3,KEGG,mmu05418,NA,Fluid shear stress and atherosclerosis,7.87e-07,2.61e-08,14,142,10090,Cav2|Gstm5|Gstm7|Gstm1|Ctnnb1|Rhoa|Hsp90ab1|Dusp1|Klf2|Actg1|Hsp90aa1|Actb|Sqstm1|Sumo2
3,Process,GO:0006091,NA,Generation of precursor metabolites and energy,1.14e-06,1.24e-09,24,378,10090,Cox5a|Ndufa11|Etfb|Uqcr11|Uqcrb|Ndufb4|Atp5j|Atp5o|Atp5b|Taldo1|Bax|Ppp1ca|Ndufa7|Ndufb10|Cox6a1|Cox6b1|Aldoa|Atp5h|Gapdh|Cox7c|Cox6c|Cox4i1|Gnas|Cox5b
3,Process,GO:0009206,NA,Purine ribonucleoside triphosphate biosynthetic process,2.31e-06,2.91e-09,13,97,10090,Ndufa11|Nme2|Ndufb4|Atp5j|Atp5o|Atp5b|Ndufa7|Ndufb10|Atp5l|Aldoa|Atp5h|Atp5g3|Impdh1
3,KEGG,mmu05100,NA,Bacterial invasion of epithelial cells,3.36e-06,1.32e-07,10,71,10090,Cav2|Ctnnb1|Rhoa|Cltb|Cdc42|Actg1|Arhgap10|Arpc1b|Actb|Arpc2
3,KEGG,mmu04810,NA,Regulation of actin cytoskeleton,1.06e-05,4.46e-07,15,211,10090,Rhoa|Kras|Ppp1ca|Rras|Myl12b|Mapk3|Cdc42|Actg1|Cxcl12|Arpc1b|Actb|Tmsb4x|Arpc2|Myl12a|Cfl1
3,Process,GO:0009141,NA,Nucleoside triphosphate metabolic process,1.13e-05,2.43e-08,17,220,10090,Ndufa11|Rhoa|Smpdl3a|Nme2|Ndufb4|Atp5j|Atp5o|Atp5b|Ndufa7|Ndufb10|Atp5l|Aldoa|Atp5h|Atp5g3|Gapdh|Impdh1|Guk1
3,Process,GO:0009205,NA,Purine ribonucleoside triphosphate metabolic process,1.15e-05,2.54e-08,16,193,10090,Ndufa11|Rhoa|Nme2|Ndufb4|Atp5j|Atp5o|Atp5b|Ndufa7|Ndufb10|Atp5l|Aldoa|Atp5h|Atp5g3|Gapdh|Impdh1|Guk1
3,Process,GO:1902600,NA,Proton transmembrane transport,1.84e-05,4.63e-08,13,125,10090,Cox5a|Atp5j|Atp5o|Atp6v0c|Atp5b|Slc25a4|Cox6a1|Atp5l|Atp6v1g1|Atp5h|Atp5g3|Ucp2|Atp6v0e
3,KEGG,mmu04670,NA,Leukocyte transendothelial migration,1.93e-05,9.3e-07,11,113,10090,Esam|Ctnnb1|Rhoa|Cldn5|Myl12b|Cdc42|Gnai2|Actg1|Cxcl12|Actb|Myl12a
3,Process,GO:0010594,NA,Regulation of endothelial cell migration,2.06e-05,5.33e-08,15,177,10090,Acvrl1|Jup|Hspb1|Rhoa|Gata2|Sparc|Atp5b|Jcad|Rras|Bsg|Emp2|Glul|Ceacam1|Rac1|Klf4
3,Process,GO:0006754,NA,ATP biosynthetic process,2.44e-05,6.76e-08,11,85,10090,Ndufa11|Ndufb4|Atp5j|Atp5o|Atp5b|Ndufa7|Ndufb10|Atp5l|Aldoa|Atp5h|Atp5g3
3,Process,GO:0009152,NA,Purine ribonucleotide biosynthetic process,3.22e-05,9.13e-08,15,185,10090,Ndufa11|Elovl1|Nme2|Ndufb4|Atp5j|Atp5o|Atp5b|Ndufa7|Ndufb10|Atp5l|Aldoa|Atp5h|Atp5g3|Impdh1|Guk1
3,Process,GO:0015986,NA,Proton motive force-driven ATP synthesis,3.56e-05,1.03e-07,10,69,10090,Ndufa11|Ndufb4|Atp5j|Atp5o|Atp5b|Ndufa7|Ndufb10|Atp5l|Atp5h|Atp5g3
3,Process,GO:0045765,NA,Regulation of angiogenesis,3.74e-05,1.11e-07,19,309,10090,Acvrl1|Jup|Hspb1|Ctnnb1|Gata2|Sparc|Ctsh|Jcad|Cldn5|Rras|Klf2|Emp2|Glul|Id1|Ceacam1|Klf4|Ecm1|Ramp2|Cd59a
3,Process,GO:0010632,NA,Regulation of epithelial cell migration,4.07e-05,1.23e-07,17,248,10090,Acvrl1|Jup|Hspb1|Rhoa|Gata2|Sparc|Atp5b|Ctsh|Jcad|Rras|Bsg|Emp2|Glul|Ceacam1|Rac1|Klf4|Rab11a
3,KEGG,mmu04260,NA,Cardiac muscle contraction,8.75e-05,4.48e-06,9,84,10090,Cox5a|Uqcr11|Uqcrb|Cox6a1|Cox6b1|Tpm1|Cox7c|Cox6c|Cox4i1
3,KEGG,mmu04510,NA,Focal adhesion,9.89e-05,5.36e-06,13,196,10090,Cav2|Ccnd2|Ctnnb1|Rhoa|Ppp1ca|Myl12b|Mapk3|Cdc42|Actg1|Ccnd1|Actb|Myl12a|Ccnd3
3,KEGG,mmu04137,NA,Mitophagy - animal,0.00011,6.03e-06,8,65,10090,Gabarap|Fis1|Ubb|Bnip3l|Kras|Rras|Sqstm1|Ubc
3,KEGG,mmu05017,NA,Spinocerebellar ataxia,0.00011,6.41e-06,11,140,10090,Psmb1|Psmb5|Psma7|Slc25a4|Psma4|Sem1|Psmd7|Psmd8|Psmc3|Psmb3|Psma2
3,Process,GO:0098754,NA,Detoxification,0.00012,4.65e-07,12,129,10090,Gstm5|Gstm7|Txndc17|Akr1a1|Aldh2|Mt1|Selenow|Selenof|Gpx1|Gpx4|Park7|Prdx1
3,Process,GO:0019646,NA,Aerobic electron transport chain,0.00016,6.43e-07,9,65,10090,Cox5a|Uqcr11|Uqcrb|Ndufa7|Cox6a1|Cox7c|Cox6c|Cox4i1|Cox5b
3,Process,GO:0045216,NA,Cell-cell junction organization,0.00018,7.69e-07,14,191,10090,Lsr|Jup|Esam|Rhoc|Ctnnb1|Rhoa|Lims2|Cldn5|Cdc42|Actg1|Ceacam1|Rac1|Actb|Ramp2
3,Process,GO:1990748,NA,Cellular detoxification,0.00019,7.9e-07,11,111,10090,Gstm5|Gstm7|Txndc17|Akr1a1|Aldh2|Selenow|Selenof|Gpx1|Gpx4|Park7|Prdx1
3,Process,GO:0046034,NA,ATP metabolic process,0.0002,8.99e-07,13,165,10090,Ndufa11|Ndufb4|Atp5j|Atp5o|Atp5b|Ndufa7|Ndufb10|Atp5l|Aldoa|Atp5h|Atp5g3|Gapdh|Guk1
3,KEGG,mmu04530,NA,Tight junction,0.00021,1.33e-05,11,152,10090,Rhoa|Ybx3|Cldn5|Myl12b|Cdc42|Actg1|Ccnd1|Tuba1a|Actb|Myl12a|Myl6
3,Process,GO:0050678,NA,Regulation of epithelial cell proliferation,0.00031,1.5e-06,21,445,10090,Cav2|Ccnd2|Acvrl1|Ctnnb1|Gata2|Sparc|Nme2|Wfdc1|Lims2|Bax|Jcad|Klf9|Cdc42|Cxcl12|Gpx1|Glul|Ccnd1|Id1|Ceacam1|Ecm1|Cdkn1c
3,Process,GO:0042775,NA,Mitochondrial ATP synthesis coupled electron transport,0.00032,1.55e-06,9,73,10090,Cox5a|Uqcr11|Uqcrb|Ndufa7|Cox6a1|Cox7c|Cox6c|Cox4i1|Cox5b
3,Process,GO:0006123,NA,"Mitochondrial electron transport, cytochrome c to oxygen",0.00033,1.63e-06,6,22,10090,Cox5a|Cox6a1|Cox7c|Cox6c|Cox4i1|Cox5b
3,Process,GO:0022904,NA,Respiratory electron transport chain,0.00053,2.75e-06,10,102,10090,Cox5a|Etfb|Uqcr11|Uqcrb|Ndufa7|Cox6a1|Cox7c|Cox6c|Cox4i1|Cox5b
3,Process,GO:0032386,NA,Regulation of intracellular transport,0.00053,2.75e-06,18,350,10090,Grasp|Jup|Fis1|Snx3|Bnip3l|Hsp90ab1|Ehd1|Scp2|Anxa2|Cd81|Mapk3|Cdc42|Hsp90aa1|Park7|Pkig|Arpc2|Arf1|Oaz1
3,KEGG,mmu04723,NA,Retrograde endocannabinoid signaling,0.00069,4.55e-05,10,144,10090,Ndufa11|Ndufb4|Gnb2|Ndufa7|Ndufb10|Mapk3|Gnai2|Gng5|Mgll|Ndufa4
3,Process,GO:0042776,NA,Proton motive force-driven mitochondrial ATP synthesis,0.00078,4.39e-06,8,62,10090,Ndufa11|Ndufb4|Atp5j|Atp5o|Atp5b|Ndufa7|Ndufb10|Atp5h
3,Process,GO:0043393,NA,Regulation of protein binding,0.00079,4.47e-06,14,224,10090,Tle5|Hsp90ab1|Adam15|Bax|Map1lc3b|Anxa2|Cldn5|Mapk3|Cdc42|Nes|Id1|Actb|Park7|Ramp2
3,Process,GO:0007005,NA,Mitochondrion organization,0.00084,4.8e-06,21,481,10090,Cav2|Ndufa11|Gabarap|Fis1|Timm13|Bnip3l|Ndufb4|Ndufaf7|Uqcc2|Higd2a|Map1lc3a|Gclm|Bax|Slc25a4|Map1lc3b|Ndufb10|Chchd2|Hsp90aa1|Sqstm1|Park7|Calm1
3,Process,GO:0008360,NA,Regulation of cell shape,0.00088,5.13e-06,12,165,10090,Rhoc|Rhoa|Myl12b|S100a13|Cdc42ep2|Arhgdia|Anxa7|Aldoa|Rac1|Tpm1|Myl12a|Cfl1
3,KEGG,mmu04390,NA,Hippo signaling pathway,0.0012,8.14e-05,10,155,10090,Ccnd2|Ctnnb1|Ywhab|Ywhah|Ppp1ca|Actg1|Ccnd1|Id1|Actb|Ccnd3
3,Process,GO:0051098,NA,Regulation of binding,0.0013,7.96e-06,19,418,10090,Tle5|Ctnnb1|Edf1|Hsp90ab1|Adam15|Bax|Map1lc3b|Anxa2|Cldn5|Mapk3|Cdc42|Nes|Id1|Actb|Park7|Klf4|Sri|Ramp2|Calm1
3,KEGG,mmu05160,NA,Hepatitis C,0.0013,9.46e-05,10,158,10090,Ctnnb1|Ywhab|Ywhah|Nfkbia|Kras|Bax|Cldn5|Cd81|Mapk3|Ccnd1
3,Process,GO:0009636,NA,Response to toxic substance,0.0014,8.99e-06,14,239,10090,Gstm5|Gstm7|Txndc17|Akr1a1|Aldh2|Bax|Mt1|Selenow|Selenof|Mapk3|Gpx1|Gpx4|Park7|Prdx1
3,Process,GO:0001525,NA,Angiogenesis,0.0014,9.23e-06,17,346,10090,Acvrl1|Ctnnb1|Gata2|Atp5b|Sox17|Adam15|Anxa2|Clic4|Cdc42|Sox18|Bsg|Actg1|Cxcl12|Gpx1|Glul|Ecm1|Ramp2
3,KEGG,mmu05203,NA,Viral carcinogenesis,0.0014,0.00011,11,194,10090,Ccnd2|Rhoa|Ywhab|Ywhah|Nfkbia|Kras|Bax|Mapk3|Cdc42|Ccnd1|Ccnd3
3,Process,GO:1904951,NA,Positive regulation of establishment of protein localization,0.0015,9.91e-06,17,348,10090,Jup|Dynll1|Fis1|Hsp90ab1|Tmed10|Cd81|Cdc42|Bsg|Glul|Hsp90aa1|Rac1|Arpc2|Ppia|Sri|Arf1|Ptp4a3|Oaz1
3,KEGG,mmu05205,NA,Proteoglycans in cancer,0.0015,0.00012,11,196,10090,Cav2|Ctnnb1|Rhoa|Kras|Ppp1ca|Rras|Mapk3|Cdc42|Actg1|Ccnd1|Actb
3,KEGG,mmu04371,NA,Apelin signaling pathway,0.0016,0.00013,9,133,10090,Gabarap|Gnb2|Kras|Rras|Mapk3|Gnai2|Klf2|Ccnd1|Gng5
3,Process,GO:0009150,NA,Purine ribonucleotide metabolic process,0.0017,1.14e-05,18,390,10090,Ndufa11|Elovl1|Rhoa|Hint1|Nme2|Ndufb4|Atp5j|Atp5o|Atp5b|Ndufa7|Ndufb10|Atp5l|Aldoa|Atp5h|Atp5g3|Gapdh|Impdh1|Guk1
3,KEGG,mmu05163,NA,Human cytomegalovirus infection,0.0017,0.00015,12,237,10090,Ctnnb1|Rhoa|Nfkbia|Gnb2|Kras|Bax|Gna11|Mapk3|Gnai2|Cxcl12|Ccnd1|Gng5
3,Process,GO:0006979,NA,Response to oxidative stress,0.0018,1.25e-05,18,393,10090,Psmb5|Ndufb4|Map1lc3a|Gclm|Aldh2|Mapk3|Klf2|Gpx1|Chchd2|Gpx4|Park7|Atox1|Selenok|Tpm1|Prdx1|Ppia|Ucp2|Cfl1
3,Process,GO:0072659,NA,Protein localization to plasma membrane,0.0019,1.31e-05,13,214,10090,Jup|Slc9a3r2|Ehd1|Scp2|Vamp3|Anxa2|Cd81|Bsg|Emp2|Rac1|Ramp2|Myl12a|Rab11a
3,KEGG,mmu05225,NA,Hepatocellular carcinoma,0.0019,0.00017,10,170,10090,Gstm5|Gstm7|Gstm1|Ctnnb1|Kras|Bax|Mapk3|Actg1|Ccnd1|Actb
3,KEGG,mmu04360,NA,Axon guidance,0.0023,0.00021,10,175,10090,Rhoa|Kras|Rras|Myl12b|Mapk3|Cdc42|Gnai2|Cxcl12|Myl12a|Cfl1
3,KEGG,mmu05167,NA,Kaposi sarcoma-associated herpesvirus infection,0.0023,0.00021,11,210,10090,Ctnnb1|Gabarap|Ubb|Nfkbia|Gnb2|Kras|Bax|Mapk3|Ccnd1|Gng5|Ubc
3,KEGG,mmu05216,NA,Thyroid cancer,0.0023,0.00021,5,36,10090,Ctnnb1|Kras|Bax|Mapk3|Ccnd1
3,KEGG,mmu04921,NA,Oxytocin signaling pathway,0.0024,0.00024,9,145,10090,Rhoa|Kras|Ppp1ca|Mapk3|Gnai2|Actg1|Ccnd1|Actb|Myl6
3,Process,GO:0110053,NA,Regulation of actin filament organization,0.0028,2.05e-05,15,294,10090,Esam|Rhoc|Rhoa|Cdc42|Cdc42ep2|Actg1|Arpc1b|Id1|Rac1|Dstn|Tmsb4x|Tpm1|Arpc2|Arf1|Cfl1
3,Process,GO:0006753,NA,Nucleoside phosphate metabolic process,0.0029,2.12e-05,20,491,10090,Ndufa11|Elovl1|Rhoa|Smpdl3a|Hint1|Nme2|Ndufb4|Atp5j|Atp5o|Atp5b|Ndufa7|Ndufb10|Atp5l|Aldoa|Park7|Atp5h|Atp5g3|Gapdh|Impdh1|Guk1
3,Process,GO:0051222,NA,Positive regulation of protein transport,0.0029,2.12e-05,16,332,10090,Jup|Dynll1|Fis1|Hsp90ab1|Tmed10|Cd81|Cdc42|Bsg|Glul|Hsp90aa1|Rac1|Arpc2|Ppia|Sri|Arf1|Oaz1
3,Process,GO:2000146,NA,Negative regulation of cell motility,0.0029,2.12e-05,16,332,10090,Acvrl1|Jup|Rhoa|Dusp1|Adam15|Clic4|Cldn5|Rras|Arhgdia|Cxcl12|Rac1|Park7|Dusp3|Klf4|Tpm1|Cfl1
3,Process,GO:0003158,NA,Endothelium development,0.0031,2.36e-05,9,105,10090,Acvrl1|Ctnnb1|Rhoa|Sox17|Clic4|Sox18|Bsg|Gpx1|Id1
3,Process,GO:0007043,NA,Cell-cell junction assembly,0.0032,2.41e-05,10,133,10090,Lsr|Jup|Esam|Rhoc|Ctnnb1|Rhoa|Cldn5|Actg1|Actb|Ramp2
3,Process,GO:0006749,NA,Glutathione metabolic process,0.0032,2.42e-05,8,80,10090,Gstm5|Gstm7|Gstm1|Clic1|Gclm|Gpx1|Gpx4|Park7
3,KEGG,mmu04216,NA,Ferroptosis,0.0032,0.00033,5,40,10090,Map1lc3a|Gclm|Map1lc3b|Ftl1|Gpx4
3,KEGG,mmu04611,NA,Platelet activation,0.0032,0.00034,8,120,10090,Rhoa|Ppp1ca|Myl12b|Mapk3|Gnai2|Actg1|Actb|Myl12a
3,KEGG,mmu05170,NA,Human immunodeficiency virus 1 infection,0.0033,0.00035,11,224,10090,Nfkbia|Rbx1|Gnb2|Kras|Bax|Gna11|Mapk3|Gnai2|Elob|Gng5|Cfl1
3,KEGG,mmu04110,NA,Cell cycle,0.0033,0.00036,8,121,10090,Ccnd2|Ywhab|Ywhah|Rbx1|Anapc11|Ccnd1|Ccnd3|Cdkn1c
3,KEGG,mmu05211,NA,Renal cell carcinoma,0.0033,0.00038,6,65,10090,Rbx1|Slc2a1|Kras|Mapk3|Cdc42|Elob
3,Process,GO:0032388,NA,Positive regulation of intracellular transport,0.0035,2.74e-05,12,197,10090,Jup|Fis1|Hsp90ab1|Ehd1|Scp2|Anxa2|Cd81|Cdc42|Hsp90aa1|Arpc2|Arf1|Oaz1
3,Process,GO:0048514,NA,Blood vessel morphogenesis,0.0036,2.93e-05,19,461,10090,Acvrl1|Ctnnb1|Gata2|Atp5b|Sox17|Adam15|Bax|Anxa2|Clic4|Cdc42|Sox18|Bsg|Actg1|Cxcl12|Gpx1|Glul|Ecm1|Ramp2|Stra6
3,Process,GO:0033157,NA,Regulation of intracellular protein transport,0.004,3.31e-05,13,235,10090,Grasp|Jup|Fis1|Snx3|Bnip3l|Hsp90ab1|Cd81|Cdc42|Hsp90aa1|Park7|Pkig|Arpc2|Oaz1
3,Process,GO:0022604,NA,Regulation of cell morphogenesis,0.004,3.42e-05,16,346,10090,Rhoc|Rhoa|Sparc|Lims2|Myl12b|S100a13|Cdc42|Cdc42ep2|Arhgdia|Anxa7|Aldoa|Rac1|Tpm1|Arpc2|Myl12a|Cfl1
3,KEGG,mmu05166,NA,Human T-cell leukemia virus 1 infection,0.004,0.00047,11,232,10090,Ccnd2|Nfkbia|Anapc11|Slc2a1|Kras|Bax|Slc25a4|Mapk3|Ccnd1|Ccnd3|Fdps
3,KEGG,mmu04520,NA,Adherens junction,0.004,0.00048,6,68,10090,Ctnnb1|Rhoa|Mapk3|Cdc42|Actg1|Actb
3,Process,GO:0010810,NA,Regulation of cell-substrate adhesion,0.0042,3.6e-05,13,237,10090,Acvrl1|Jup|Rhoa|Lims2|Adam15|Rras|Cdc42|Actg1|Emp2|Rac1|Dusp3|Arpc2|Cfl1
3,Process,GO:0050679,NA,Positive regulation of epithelial cell proliferation,0.0044,3.91e-05,13,239,10090,Cav2|Ccnd2|Acvrl1|Ctnnb1|Gata2|Nme2|Jcad|Cdc42|Cxcl12|Glul|Ccnd1|Id1|Ecm1
3,Process,GO:0007015,NA,Actin filament organization,0.0045,4.1e-05,14,276,10090,Aif1l|Rhoc|Rhoa|Rflnb|Cdc42|Emp2|Arpc1b|Rac1|Dstn|Tmsb4x|Tpm1|Arpc2|Arf1|Cfl1
3,KEGG,mmu05215,NA,Prostate cancer,0.0046,0.00057,7,99,10090,Ctnnb1|Nfkbia|Hsp90ab1|Kras|Mapk3|Ccnd1|Hsp90aa1
3,KEGG,mmu00480,NA,Glutathione metabolism,0.0047,0.00059,6,71,10090,Gstm5|Gstm7|Gstm1|Gclm|Gpx1|Gpx4
3,KEGG,mmu05164,NA,Influenza A,0.0048,0.00062,9,166,10090,Nfkbia|Bax|Slc25a4|Mapk3|Actg1|Actb|Ccnd3|Rab11a|Fdps
3,KEGG,mmu04218,NA,Cellular senescence,0.005,0.00067,9,168,10090,Ccnd2|Kras|Slc25a4|Ppp1ca|Rras|Mapk3|Ccnd1|Sqstm1|Ccnd3
3,KEGG,mmu04210,NA,Apoptosis,0.0052,0.00071,8,135,10090,Nfkbia|Kras|Bax|Ctsh|Mapk3|Actg1|Tuba1a|Actb
3,Process,GO:0030336,NA,Negative regulation of cell migration,0.0053,4.84e-05,15,318,10090,Acvrl1|Jup|Rhoa|Dusp1|Adam15|Clic4|Cldn5|Rras|Arhgdia|Cxcl12|Rac1|Park7|Dusp3|Klf4|Tpm1
3,Process,GO:0032970,NA,Regulation of actin filament-based process,0.0053,4.92e-05,18,438,10090,Jup|Esam|Rhoc|Rhoa|Cdc42|Cdc42ep2|Arhgdia|Actg1|Arpc1b|Id1|Rac1|Dstn|Tmsb4x|Tpm1|Arpc2|Sri|Arf1|Cfl1
